datetime,TinTrue,ToutF,u,y,w,s_plus,s_minus,z,solve_time_ms,fallback_flag
2025-07-01 00:00:00,74.054,72.0,0,0,0,0.0,0.0,0.054,114.94,0
2025-07-01 00:05:00,73.738,72.252,0,0,0,0.0,0.0,0.262,118.74,0
2025-07-01 00:10:00,73.82,72.441,0,0,0,0.0,0.0,0.18,114.77,0
2025-07-01 00:15:00,73.884,72.517,0,0,0,0.0,0.0,0.116,101.23,0
2025-07-01 00:20:00,73.713,72.463,0,0,0,0.0,0.0,0.287,89.31,0
2025-07-01 00:25:00,73.839,72.298,0,0,0,0.0,0.0,0.161,80.46,0
2025-07-01 00:30:00,73.847,72.068,0,0,0,0.0,0.0,0.153,97.22,0
2025-07-01 00:35:00,73.592,71.843,0,0,0,0.0,0.0,0.408,96.09,0
2025-07-01 00:40:00,74.016,71.689,0,0,0,0.0,0.0,0.016,100.91,0
2025-07-01 00:45:00,73.961,71.654,0,0,0,0.0,0.0,0.039,99.14,0
2025-07-01 00:50:00,73.786,71.757,0,0,0,0.0,0.0,0.214,102.21,0
2025-07-01 00:55:00,73.862,71.979,0,0,0,0.0,0.0,0.138,101.74,0
2025-07-01 01:00:00,73.972,72.273,0,0,0,0.0,0.0,0.028,110.44,0
2025-07-01 01:05:00,73.866,72.57,0,0,0,0.0,0.0,0.134,108.49,0
2025-07-01 01:10:00,73.877,72.803,0,0,0,0.0,0.0,0.123,104.79,0
2025-07-01 01:15:00,73.704,72.925,0,0,0,0.0,0.0,0.296,97.04,0
2025-07-01 01:20:00,74.014,72.915,0,0,0,0.0,0.0,0.014,91.56,0
2025-07-01 01:25:00,73.958,72.794,0,0,0,0.0,0.0,0.042,118.95,0
2025-07-01 01:30:00,73.989,72.609,0,0,0,0.0,0.0,0.011,93.35,0
2025-07-01 01:35:00,73.727,72.428,0,0,0,0.0,0.0,0.273,88.75,0
2025-07-01 01:40:00,74.213,72.317,0,0,0,0.0,0.0,0.213,82.63,0
2025-07-01 01:45:00,73.997,72.325,0,0,0,0.0,0.0,0.003,119.31,0
2025-07-01 01:50:00,73.924,72.471,0,0,0,0.0,0.0,0.076,85.11,0
2025-07-01 01:55:00,74.296,72.736,0,0,0,0.0,0.0,0.296,92.89,0
2025-07-01 02:00:00,73.993,73.072,0,0,0,0.0,0.0,0.007,82.84,0
2025-07-01 02:05:00,73.791,73.411,0,0,0,0.0,0.0,0.209,88.99,0
2025-07-01 02:10:00,73.957,73.686,0,0,0,0.0,0.0,0.043,95.75,0
2025-07-01 02:15:00,73.683,73.848,0,0,0,0.0,0.0,0.317,115.85,0
2025-07-01 02:20:00,74.192,73.88,0,0,0,0.0,0.0,0.192,93.82,0
2025-07-01 02:25:00,73.981,73.798,0,0,0,0.0,0.0,0.019,119.39,0
2025-07-01 02:30:00,73.941,73.653,0,0,0,0.0,0.0,0.059,81.15,0
2025-07-01 02:35:00,74.222,73.511,0,0,0,0.0,0.0,0.222,94.07,0
2025-07-01 02:40:00,73.822,73.439,0,0,0,0.0,0.0,0.178,95.24,0
2025-07-01 02:45:00,74.158,73.485,0,0,0,0.0,0.0,0.158,110.57,0
2025-07-01 02:50:00,73.777,73.669,0,0,0,0.0,0.0,0.223,117.55,0
2025-07-01 02:55:00,73.996,73.971,0,0,0,0.0,0.0,0.004,92.79,0
2025-07-01 03:00:00,73.923,74.343,0,0,0,0.0,0.0,0.077,97.3,0
2025-07-01 03:05:00,74.331,74.718,0,0,0,0.0,0.0,0.331,90.81,0
2025-07-01 03:10:00,74.385,75.028,0,0,0,0.0,0.0,0.385,112.04,0
2025-07-01 03:15:00,74.079,75.225,0,0,0,0.0,0.0,0.079,105.53,0
2025-07-01 03:20:00,74.263,75.291,0,0,0,0.0,0.0,0.263,82.75,0
2025-07-01 03:25:00,74.118,75.243,0,0,0,0.0,0.0,0.118,104.15,0
2025-07-01 03:30:00,74.238,75.13,0,0,0,0.0,0.0,0.238,111.82,0
2025-07-01 03:35:00,74.048,75.02,0,0,0,0.0,0.0,0.048,81.28,0
2025-07-01 03:40:00,73.913,74.978,0,0,0,0.0,0.0,0.087,98.22,0
2025-07-01 03:45:00,73.906,75.055,0,0,0,0.0,0.0,0.094,111.61,0
2025-07-01 03:50:00,74.242,75.269,0,0,0,0.0,0.0,0.242,119.54,0
2025-07-01 03:55:00,74.53,75.6,0,0,0,0.0,0.0,0.53,103.36,0
2025-07-01 04:00:00,74.24,76.0,0,0,0,0.0,0.0,0.24,81.56,0
2025-07-01 04:05:00,74.129,76.402,0,0,0,0.0,0.0,0.129,97.86,0
2025-07-01 04:10:00,74.502,76.739,0,0,0,0.0,0.0,0.502,87.53,0
2025-07-01 04:15:00,74.258,76.962,0,0,0,0.0,0.0,0.258,105.08,0
2025-07-01 04:20:00,74.245,77.052,0,0,0,0.0,0.0,0.245,88.61,0
2025-07-01 04:25:00,74.274,77.028,0,0,0,0.0,0.0,0.274,86.04,0
2025-07-01 04:30:00,74.224,76.939,0,0,0,0.0,0.0,0.224,101.45,0
2025-07-01 04:35:00,74.204,76.85,0,0,0,0.0,0.0,0.204,84.02,0
2025-07-01 04:40:00,74.042,76.831,0,0,0,0.0,0.0,0.042,109.25,0
2025-07-01 04:45:00,74.339,76.928,0,0,0,0.0,0.0,0.339,117.59,0
2025-07-01 04:50:00,74.256,77.161,0,0,0,0.0,0.0,0.256,117.73,0
2025-07-01 04:55:00,74.456,77.511,0,0,0,0.0,0.0,0.456,94.99,0
2025-07-01 05:00:00,74.228,77.929,0,0,0,0.0,0.0,0.228,103.83,0
2025-07-01 05:05:00,74.003,78.349,0,0,0,0.0,0.0,0.003,106.48,0
2025-07-01 05:10:00,74.28,78.701,0,0,0,0.0,0.0,0.28,100.42,0
2025-07-01 05:15:00,74.556,78.939,0,0,0,0.0,0.0,0.556,98.84,0
2025-07-01 05:20:00,74.249,79.044,0,0,0,0.0,0.0,0.249,80.35,0
2025-07-01 05:25:00,74.178,79.033,0,0,0,0.0,0.0,0.178,82.72,0
2025-07-01 05:30:00,74.138,78.956,0,0,0,0.0,0.0,0.138,97.39,0
2025-07-01 05:35:00,74.165,78.879,0,0,0,0.0,0.0,0.165,97.26,0
2025-07-01 05:40:00,74.283,78.87,0,0,0,0.0,0.0,0.283,87.44,0
2025-07-01 05:45:00,74.156,78.977,0,0,0,0.0,0.0,0.156,101.19,0
2025-07-01 05:50:00,74.562,79.218,0,0,0,0.0,0.0,0.562,103.96,0
2025-07-01 05:55:00,74.3,79.575,0,0,0,0.0,0.0,0.3,108.84,0
2025-07-01 06:00:00,74.363,80.0,0,0,0,0.0,0.0,0.363,92.26,0
2025-07-01 06:05:00,74.566,80.425,0,0,0,0.0,0.0,0.566,96.18,0
2025-07-01 06:10:00,74.58,80.782,0,0,0,0.0,0.0,0.58,112.91,0
2025-07-01 06:15:00,74.327,81.023,0,0,0,0.0,0.0,0.327,103.49,0
2025-07-01 06:20:00,74.412,81.13,0,0,0,0.0,0.0,0.412,108.26,0
2025-07-01 06:25:00,74.476,81.121,0,0,0,0.0,0.0,0.476,100.42,0
2025-07-01 06:30:00,74.341,81.044,0,0,0,0.0,0.0,0.341,113.2,0
2025-07-01 06:35:00,74.106,80.967,0,0,0,0.0,0.0,0.106,108.83,0
2025-07-01 06:40:00,74.474,80.956,0,0,0,0.0,0.0,0.474,114.65,0
2025-07-01 06:45:00,74.513,81.061,0,0,0,0.0,0.0,0.513,88.14,0
2025-07-01 06:50:00,74.444,81.299,0,0,0,0.0,0.0,0.444,91.94,0
2025-07-01 06:55:00,74.245,81.651,0,0,0,0.0,0.0,0.245,99.03,0
2025-07-01 07:00:00,74.357,82.071,0,0,0,0.0,0.0,0.357,99.74,0
2025-07-01 07:05:00,74.3,82.489,0,0,0,0.0,0.0,0.3,104.31,0
2025-07-01 07:10:00,74.346,82.839,0,0,0,0.0,0.0,0.346,112.76,0
2025-07-01 07:15:00,74.587,83.072,0,0,0,0.0,0.0,0.587,101.11,0
2025-07-01 07:20:00,74.623,83.169,0,0,0,0.0,0.0,0.623,117.57,0
2025-07-01 07:25:00,74.496,83.15,0,0,0,0.0,0.0,0.496,108.94,0
2025-07-01 07:30:00,74.479,83.061,0,0,0,0.0,0.0,0.479,87.15,0
2025-07-01 07:35:00,74.499,82.972,0,0,0,0.0,0.0,0.499,104.79,0
2025-07-01 07:40:00,74.397,82.948,0,0,0,0.0,0.0,0.397,102.49,0
2025-07-01 07:45:00,74.388,83.038,0,0,0,0.0,0.0,0.388,110.54,0
2025-07-01 07:50:00,74.299,83.261,0,0,0,0.0,0.0,0.299,112.27,0
2025-07-01 07:55:00,74.392,83.598,0,0,0,0.0,0.0,0.392,91.95,0
2025-07-01 08:00:00,74.739,84.0,0,0,0,0.0,0.0,0.739,85.54,0
2025-07-01 08:05:00,73.93,84.4,1,1,0,0.0,0.0,0.07,105.42,0
2025-07-01 08:10:00,73.748,84.731,1,0,0,0.0,0.0,0.252,80.33,0
2025-07-01 08:15:00,73.728,84.945,1,0,0,0.0,0.0,0.272,111.54,0
2025-07-01 08:20:00,73.669,85.022,1,0,0,0.0,0.0,0.331,100.08,0
2025-07-01 08:25:00,73.854,84.98,1,0,0,0.0,0.0,0.146,119.88,0
2025-07-01 08:30:00,73.855,84.87,1,0,0,0.0,0.0,0.145,119.36,0
2025-07-01 08:35:00,73.579,84.757,1,0,0,0.0,0.0,0.421,89.08,0
2025-07-01 08:40:00,73.867,84.709,1,0,0,0.0,0.0,0.133,114.0,0
2025-07-01 08:45:00,73.707,84.775,1,0,0,0.0,0.0,0.293,112.51,0
2025-07-01 08:50:00,74.005,84.972,1,0,0,0.0,0.0,0.005,89.45,0
2025-07-01 08:55:00,73.812,85.282,1,0,0,0.0,0.0,0.188,106.27,0
2025-07-01 09:00:00,74.044,85.657,1,0,0,0.0,0.0,0.044,119.09,0
2025-07-01 09:05:00,73.715,86.029,1,0,0,0.0,0.0,0.285,109.26,0
2025-07-01 09:10:00,73.738,86.331,1,0,0,0.0,0.0,0.262,83.83,0
2025-07-01 09:15:00,73.824,86.515,1,0,0,0.0,0.0,0.176,100.02,0
2025-07-01 09:20:00,73.934,86.561,1,0,0,0.0,0.0,0.066,98.49,0
2025-07-01 09:25:00,73.858,86.489,1,0,0,0.0,0.0,0.142,80.03,0
2025-07-01 09:30:00,73.585,86.347,1,0,0,0.0,0.0,0.415,119.56,0
2025-07-01 09:35:00,73.794,86.202,1,0,0,0.0,0.0,0.206,115.1,0
2025-07-01 09:40:00,73.766,86.12,1,0,0,0.0,0.0,0.234,88.69,0
2025-07-01 09:45:00,73.694,86.152,1,0,0,0.0,0.0,0.306,104.22,0
2025-07-01 09:50:00,73.658,86.314,1,0,0,0.0,0.0,0.342,98.88,0
2025-07-01 09:55:00,74.013,86.589,1,0,0,0.0,0.0,0.013,94.36,0
2025-07-01 10:00:00,73.688,86.928,1,0,0,0.0,0.0,0.312,101.17,0
2025-07-01 10:05:00,73.615,87.264,1,0,0,0.0,0.0,0.385,102.59,0
2025-07-01 10:10:00,73.833,87.529,1,0,0,0.0,0.0,0.167,113.34,0
2025-07-01 10:15:00,73.752,87.675,1,0,0,0.0,0.0,0.248,82.51,0
2025-07-01 10:20:00,73.716,87.683,1,0,0,0.0,0.0,0.284,104.25,0
